sample,lineage,lineage_designation_date,experiment_date,experiment_name,pango_version,days_to_define_prolonged_infections
hCoV-19/USA/WI-UW-6376/2021,B.1.2,2021-02-18,2021-12-09,DHO_26517_2,4.2,240
hCoV-19/USA/WI-UW-6377/2021,B.1.2,2021-02-18,2021-12-09,DHO_26599,4.2,240
hCoV-19/USA/WI-UW-7112/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.2,240
hCoV-19/USA/WI-UW-7113/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.2,240
hCoV-19/USA/WI-UW-7114/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.2,240
hCoV-19/USA/WI-UW-7177/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.2,240
hCoV-19/USA/WI-UW-7192/2021,B.1.617.2,2021-04-21,2021-12-20,DHO_26692,4.2,240
hCoV-19/USA/WI-UW-7202/2021,B.1,2021-02-18,2021-12-20,DHO_26693,4.2,240
hCoV-19/USA/WI-UW-7208/2021,B.1,2021-02-18,2021-12-20,DHO_26693,4.2,240
hCoV-19/USA/WI-UW-7801/2021,B.1.617.2,2021-04-21,2021-12-24,DHO_26704,4.2,240
hCoV-19/USA/WI-UW-8191/2021,B.1,2021-02-18,2022-01-07,DHO_26716,4.2,240
hCoV-19/USA/WI-UW-12027/9999,B.1.234,2021-02-18,2022-07-07,DHO_27410_gupb,4.2,240
hCoV-19/USA/WI-UW-12027/2022,B.1.234,2021-02-18,2022-07-01,DHO_27410_gup,4.2,240
hCoV-19/USA/WI-UW-13045/2022,B.1.234,2021-02-18,2022-08-23,DHO_27572_gup,4.2,240
hCoV-19/USA/WI-UW-13082/2022,B.1.234,2021-02-18,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13091/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13092/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13094/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13106/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13113/2022,BA.2,2021-12-07,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13123/2022,B.1.234,2021-02-18,2022-08-28,DHO_27571_gupb,4.2,240
hCoV-19/USA/WI-UW-13209/9999,B.1.234,2021-02-18,2022-08-30,DHO_27600_gupb,4.2,240
hCoV-19/USA/WI-UW-13505/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.2,240
hCoV-19/USA/WI-UW-13507/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.2,240
hCoV-19/USA/WI-UW-13508/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.2,240
hCoV-19/USA/WI-UW-13511/2022,BA.2,2021-12-07,2022-09-29,DHO_27724_3_gup,4.2,240
hCoV-19/USA/WI-UW-13505/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.2,240
hCoV-19/USA/WI-UW-13507/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.2,240
hCoV-19/USA/WI-UW-13508/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.2,240
hCoV-19/USA/WI-UW-13511/2022,BA.2,2021-12-07,2022-10-11,DHO_27724_5_gup,4.2,240
hCoV-19/USA/WI-UW-13897/2022,B.1.234,2021-02-18,2022-11-07,DHO_27833_gup,4.2,240
hCoV-19/USA/WI-UW-13898/2022,B.1.234,2021-02-18,2022-11-07,DHO_27833_gup,4.2,240
hCoV-19/USA/WI-UW-14234/2022,BA.5,2022-04-06,2022-12-03,DHO_27931_gup,4.2,240
hCoV-19/USA/WI-UW-14171/2022,BA.2,2021-12-07,2022-11-17,DHO_27878_gup,4.2,240
hCoV-19/USA/WI-UW-14372/2022,BA.2,2021-12-07,2022-12-08,DHO_27972_gup,4.2,240
hCoV-19/USA/WI-UW-14544/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14573/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14575/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14578/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14582/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14588/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14591/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14593/2022,BA.5,2022-04-06,2022-12-23,DHO_28062_gup,4.2,240
hCoV-19/USA/WI-UW-14641/2022,BA.5,2022-04-06,2023-01-09,DHO_28081_gup,4.2,240
hCoV-19/USA/WI-UW-14820/2023,BA.5,2022-04-06,2023-01-19,DHO_28130_gup,4.2,240
